VideoFileName,Arousal,Dominance,Submission,Closeness,Novelty,Category,Interactions,Valence,Social
00606DVD.mpg,0.80,0.40,0.00,1.20,3.00,4.00,0.80,-0.20,0.00
00825DVD.mpg,0.80,0.20,0.00,1.40,3.00,4.00,0.60,-0.20,0.00
01105DVD.mpg,0.60,0.00,0.00,0.00,1.60,5.00,0.00,-0.20,0.00
01207DVD.mpg,0.20,0.00,0.00,0.00,-0.20,5.00,0.00,-0.20,0.00
00232DVD.mpg,0.60,0.00,0.00,0.00,1.20,1.00,0.00,-0.20,0.00
00792DVD.mpg,-0.20,0.00,0.00,0.00,1.80,1.00,0.00,-0.20,0.00
00510DVD.mpg,0.80,0.00,0.00,0.00,2.00,2.00,0.00,-0.20,0.00
01061DVD.mpg,0.40,0.00,0.00,3.00,2.80,2.00,1.40,-0.20,0.00
00463DVD.mpg,0.40,0.00,0.00,1.60,1.60,3.00,0.00,-0.20,0.00
00932DVD.mpg,0.40,0.00,0.00,1.40,2.00,3.00,0.20,-0.20,0.00
01478DVD.mpg,0.40,0.20,0.00,0.00,-1.00,3.00,0.00,-0.20,0.00
00618DVD.mpg,0.60,0.00,0.00,1.60,3.00,4.00,0.20,-0.20,0.00
00892DVD.mpg,0.60,0.00,0.00,1.60,2.80,4.00,0.60,-0.20,0.00
01111DVD.mpg,0.00,0.20,0.20,3.00,0.40,5.00,1.40,-0.20,0.00
01303DVD.mpg,0.00,0.00,0.00,0.60,-0.40,5.00,0.20,-0.20,0.00
00346DVD.mpg,0.60,0.00,0.00,0.00,1.20,1.00,0.00,-0.20,0.00
00903DVD.mpg,0.20,0.00,0.00,0.00,1.80,1.00,0.00,-0.20,0.00
00512DVD.mpg,1.00,0.00,0.00,0.00,2.40,2.00,0.00,-0.20,0.00
01501DVD.mpg,0.40,0.00,0.00,0.00,2.80,2.00,0.00,-0.20,0.00
00471DVD.mpg,0.00,0.00,0.00,0.00,2.20,3.00,0.00,-0.20,0.00
00952DVD.mpg,0.40,0.00,0.00,0.00,1.60,3.00,0.00,-0.20,0.00
00402DVD.mpg,1.20,0.00,0.00,2.40,2.80,4.00,1.80,-0.20,0.00
00635DVD.mpg,0.40,0.00,0.00,2.80,2.40,4.00,0.40,-0.20,0.00
01002DVD.mpg,0.80,0.00,0.00,1.40,3.00,4.00,0.40,-0.20,0.00
01113DVD.mpg,0.20,0.20,0.20,3.00,1.20,5.00,1.40,-0.20,0.00
01425DVD.mpg,0.20,0.00,0.00,2.40,0.20,5.00,1.40,-0.20,0.00
00472DVD.mpg,0.00,0.00,0.00,0.00,-0.60,1.00,0.00,-0.20,0.00
01493DVD.mpg,0.00,0.00,0.00,0.00,-2.20,1.00,0.00,-0.20,0.00
00514DVD.mpg,1.00,0.00,0.00,2.00,1.60,2.00,1.40,-0.20,0.00
00237DVD.mpg,1.20,0.00,0.00,1.80,2.60,3.00,0.60,-0.20,0.00
00476DVD.mpg,0.60,0.00,0.00,0.80,2.00,3.00,0.40,-0.20,0.00
01039DVD.mpg,0.60,0.00,0.00,0.00,2.60,3.00,0.00,-0.20,0.00
00403DVD.mpg,0.40,0.00,0.00,0.00,1.60,4.00,0.00,-0.20,0.00
00636DVD.mpg,0.60,0.00,0.00,3.00,2.80,4.00,0.40,-0.20,0.00
00793DVD.mpg,0.20,0.00,0.00,2.40,2.80,5.00,0.40,-0.20,0.00
01172DVD.mpg,0.20,0.20,0.20,2.40,-0.60,5.00,1.20,-0.20,0.00
01462DVD.mpg,0.40,0.00,0.00,1.80,1.60,5.00,0.80,-0.20,0.00
00549DVD.mpg,0.40,0.00,0.00,0.40,2.40,1.00,0.00,-0.20,0.00
00423DVD.mpg,1.00,0.00,0.00,2.60,2.00,2.00,0.20,-0.20,0.00
01007DVD.mpg,0.60,0.00,0.00,2.60,2.60,2.00,1.40,-0.20,0.00
00256DVD.mpg,0.60,0.20,0.20,2.20,2.80,3.00,1.60,-0.20,0.00
00561DVD.mpg,1.00,0.00,0.00,1.00,2.40,3.00,0.20,-0.20,0.00
01040DVD.mpg,0.60,0.00,0.00,0.00,2.80,3.00,0.00,-0.20,0.00
00595DVD.mpg,0.00,0.00,0.00,2.20,3.00,4.00,1.00,-0.20,0.00
00673DVD.mpg,0.60,0.00,0.00,2.40,3.00,4.00,0.80,-0.20,0.00
00794DVD.mpg,-0.20,0.00,0.00,0.60,2.00,5.00,0.20,-0.20,0.00
01196DVD.mpg,0.00,0.00,0.00,0.20,0.60,5.00,0.20,-0.20,0.00
00194DVD.mpg,0.00,0.00,0.00,0.00,1.80,1.00,0.00,0.00,0.00
00297DVD.mpg,0.00,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00350DVD.mpg,-0.20,0.00,0.00,0.00,1.20,1.00,0.00,0.00,0.00
00481DVD.mpg,-0.40,0.00,0.00,0.00,1.40,1.00,0.00,0.00,0.00
00536DVD.mpg,0.00,0.00,0.00,0.00,0.20,1.00,0.00,0.00,0.00
00641DVD.mpg,-0.60,0.00,0.00,0.00,1.80,1.00,0.00,0.00,0.00
00733DVD.mpg,-0.20,0.00,0.00,0.00,-1.60,1.00,0.00,0.00,0.00
00893DVD.mpg,-0.20,0.00,0.00,0.00,-0.20,1.00,0.00,0.00,0.00
00938DVD.mpg,0.00,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
01460DVD.mpg,0.00,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
01487DVD.mpg,0.00,0.00,0.00,0.00,-2.20,1.00,0.00,0.00,0.00
00216DVD.mpg,0.60,0.00,0.00,0.20,-0.20,2.00,0.00,0.00,0.00
