mean,X5.,X95.,X25.,X75.,Pr.theta.0.,Par,Unit
-3.2336399615519547,-4.494800898939009,-2.006069005582928,-3.739725014041305,-2.7091566081544562,0.0,Valence_c,Mean
-3.097690073233068,-4.323706071235228,-1.8889025944928086,-3.590986936239149,-2.5993827396821825,0.0,Valence_c,32992
-3.1902884828075595,-4.442749153432909,-1.961356056873207,-3.6903578907903403,-2.6806778386039687,0.0,Valence_c,33089
-3.4989220238535097,-4.804179417169242,-2.2371122586475485,-4.02152757564072,-2.9667805004160455,0.0,Valence_c,33825
-3.1470544870359403,-4.362579341777011,-1.947489668293195,-3.652569407116146,-2.6314492830259706,0.0,Valence_c,34700
0.174481323449195,-0.8096809773668568,1.1414055244529102,-0.20418815013001063,0.5621151534858009,0.62475,Arousal_c,Mean
0.17590069117552584,-0.7650129934929271,1.123562992336507,-0.21843157611239106,0.5623218465393882,0.62575,Arousal_c,32992
0.17618359451098084,-0.7930512069241246,1.1297555547013287,-0.21467893726801462,0.5572402963038264,0.619,Arousal_c,33089
0.10625528943141652,-0.8810729297944597,1.0856468754823114,-0.28005991773960726,0.5041975575878123,0.569,Arousal_c,33825
0.23572818267427664,-0.7042026631509949,1.202801643924349,-0.15778545356850054,0.6181023224331126,0.65325,Arousal_c,34700
-2.105018346413729,-3.0338192121443868,-1.1891619543039802,-2.4753434046467637,-1.7380901936784616,0.002,Dominance_c,Mean
-2.00310119810672,-2.887128173714066,-1.098497487043377,-2.385724606864447,-1.6254068565224662,2.5e-4,Dominance_c,32992
-2.297161377480931,-3.180570138290799,-1.413674769538164,-2.6504470684582735,-1.9357678938545675,0.0,Dominance_c,33089
-2.1573672883446786,-3.0705171996687293,-1.2624504158377294,-2.533542701322766,-1.780002412065357,0.0,Dominance_c,33825
-1.9900683912079873,-2.872512682508084,-1.058109757807079,-2.3643878891786123,-1.6211933457320133,7.5e-4,Dominance_c,34700
0.8075491982213127,-1.4702401405375312,3.1412705696573107,-0.1434181838608438,1.756726213093319,0.7165,Submission_c,Mean
0.8452535810714723,-1.40585128256934,3.1670183948777515,-0.087221009243914,1.7775359035217335,0.72725,Submission_c,32992
0.945887125941238,-1.396190680714434,3.3689985377291474,-0.009163731843171718,1.870496067483841,0.747,Submission_c,33089
0.598640486847665,-1.7138195519140613,2.9356498272158955,-0.35429751013673594,1.5667557448181886,0.66575,Submission_c,33825
0.8380181516579264,-1.4416009272953743,3.1742982709196066,-0.11890544993603011,1.787707083514218,0.72075,Submission_c,34700
0.15935582644035529,-0.5006229056986989,0.7894585558611104,-0.08579708548351146,0.41948771077920455,0.67675,Closeness_c,Mean
0.18785374341433,-0.3773586679152938,0.7696114470822166,-0.05359212926376798,0.4277312864992175,0.6935,Closeness_c,32992
0.17053841131287573,-0.4149870452037958,0.7378818403900302,-0.058859897929503205,0.40801679550615966,0.6985,Closeness_c,33089
0.2949959935909665,-0.31356049312107886,0.9125727363343188,0.04678690072799205,0.5323691221950673,0.79075,Closeness_c,33825
-0.004373074992170073,-0.6573213459487207,0.5997823301559798,-0.25316306499628616,0.2568982509838609,0.507,Closeness_c,34700
-1.565811118720977,-2.6440932324640483,-0.5067521464911305,-1.9983398391876415,-1.1330601555585158,0.00725,Interactions_c,Mean
-1.767361504783139,-2.818471232936645,-0.7443513048117076,-2.193106800906121,-1.3471557206631983,0.00325,Interactions_c,32992
-1.2209242141735004,-2.2404248186507507,-0.159405870341354,-1.6476402904899325,-0.8103501212924569,0.027,Interactions_c,33089
-1.483739656846986,-2.586175799047097,-0.41897609457604457,-1.923026465861147,-1.0433548781710407,0.01,Interactions_c,33825
-1.8132763220415218,-2.906638022998107,-0.7811979714533607,-2.2428905774123993,-1.3765124522007455,0.00125,Interactions_c,34700
2.3321108760544598,1.6568594832851562,3.021811495174691,2.0685242397346553,2.5936728307166836,1.0,Novelty_c,Mean
2.6677509289494603,2.0527050590054574,3.2881196213615658,2.4226352945221494,2.915719716941655,1.0,Novelty_c,32992
2.2869457872447647,1.700986937172448,2.8847471052121976,2.044274137638055,2.5220499502731593,1.0,Novelty_c,33089
1.9969173115222674,1.3156248011846707,2.6362653958826283,1.7324943313438657,2.2678604119402674,1.0,Novelty_c,33825
2.399083065095175,1.7971761720736346,3.021372788770517,2.149660421420139,2.64032035476344,1.0,Novelty_c,34700
