mean,X5.,X95.,X25.,X75.,Pr.theta.0.,Par,Unit
1.0964491698946728,0.1932713142137072,2.023944878378222,0.7582588602641087,1.4312850854988879,0.97,Valence_c,Mean
1.5939148436532753,0.9075292556188569,2.30946492241745,1.3026985810318197,1.8807696983931248,1.0,Valence_c,32992
1.0284336573894113,0.3685502557290406,1.6687004390387215,0.7642268103101848,1.2887595673918377,0.995,Valence_c,33089
0.5861571902302675,-0.048976096212696954,1.2124654872359917,0.3198932623746863,0.8480123697196308,0.9375,Valence_c,33825
1.2194742100507294,0.6404988156888077,1.7970598869269774,0.9825497834189073,1.4487042572625077,0.99975,Valence_c,34700
-0.2461887953092702,-0.97134164873404,0.4539347540343496,-0.4907715205713191,4.6963017869140755e-4,0.25025,Arousal_c,Mean
-0.23241938209317076,-0.7221231045035916,0.26365209159999653,-0.4189970032611695,-0.03463296173975035,0.20925,Arousal_c,32992
-0.25787842906877895,-0.7358704776324158,0.21352897059704495,-0.44315332309067884,-0.07359354600322326,0.177,Arousal_c,33089
-0.20891647941296687,-0.6484604344139878,0.2553709049359752,-0.39940063066131465,-0.022017475590745184,0.22225,Arousal_c,33825
-0.2864982056568913,-0.6998633723964479,0.1324222738215087,-0.45905238503392354,-0.1135700698509661,0.12925,Arousal_c,34700
0.7187728763463154,-0.11560144011787836,1.5835936966397166,0.40536960076954476,1.0325285143231484,0.92475,Dominance_c,Mean
0.8245976660948366,0.12328528927684236,1.5473061620794997,0.5245472849956407,1.115755624102515,0.9725,Dominance_c,32992
0.4808703428512557,-0.2071621784424377,1.1674385772408997,0.20658876957793915,0.7594390482374369,0.87525,Dominance_c,33089
0.6240417644577605,-0.022604809018528425,1.2612427992529847,0.3615827776294547,0.8774642249142484,0.9455,Dominance_c,33825
0.9022034361097246,0.31240942393178145,1.5023040577224114,0.6612981706834011,1.1456295234223877,0.99475,Dominance_c,34700
-0.37052526551986115,-1.1676824328125617,0.426701638295261,-0.636663858733447,-0.11435252861249157,0.1815,Submission_c,Mean
-0.3506926400065949,-0.7997315611542453,0.10682899312513676,-0.5318712183440251,-0.16735292476038738,0.1035,Submission_c,32992
-0.5145408841152763,-0.9538326547240593,-0.08993761259126495,-0.6937473676400018,-0.3330704032583047,0.02225,Submission_c,33089
-0.3027668802625426,-0.7177393132268698,0.11647714291632255,-0.47666461876834726,-0.13363365509853908,0.11125,Submission_c,33825
-0.3450254720027067,-0.7159589529107723,0.028423996085258675,-0.49450985627338306,-0.1979019421370575,0.06625,Submission_c,34700
-1.3411247484643736,-2.259023934358832,-0.40310443894669884,-1.66831732313282,-1.00979708091007,0.0145,Closeness_c,Mean
-1.3195187059007734,-2.007430024758629,-0.6335907473833159,-1.5987238101866221,-1.0374188374496254,0.001,Closeness_c,32992
-1.6104821132717189,-2.300475606929379,-0.944333115363733,-1.8861430503210568,-1.321348840441733,0.0,Closeness_c,33089
-0.665031011636047,-1.417250792944748,0.08860758877271312,-0.9784140461406615,-0.354556272710427,0.07625,Closeness_c,33825
-1.7746327420922225,-2.4160522677149827,-1.174849105653884,-2.0332932991822066,-1.5138342551144657,0.0,Closeness_c,34700
-0.7317301271262416,-1.6312658581108448,0.13647362233250176,-1.0509533336558325,-0.4161447309229643,0.0775,Interactions_c,Mean
-0.9582333543206526,-1.670171743106106,-0.29093318136508534,-1.247627399885123,-0.6709995549817325,0.0105,Interactions_c,32992
-0.45527000701460824,-1.1332935859773863,0.2448630339344479,-0.7425341182655818,-0.17207397403392743,0.13725,Interactions_c,33089
-0.4765031236674255,-1.1067547739908692,0.12919129375210064,-0.7255946158361882,-0.22781381341245655,0.09675,Interactions_c,33825
-1.065529208464814,-1.6559476309059624,-0.4887055964474069,-1.3039512366539643,-0.8280246853661266,0.0015,Interactions_c,34700
20.8457385690794,18.0974832142819,23.582636066047954,19.760101905181617,21.935425017445006,1.0,Novelty_c,Mean
21.477603118015768,18.61539141522461,24.31575004186132,20.344499425485033,22.635994464061312,1.0,Novelty_c,32992
20.858786251797643,18.03132975431408,23.66238073314224,19.70610853584014,22.002470055208708,1.0,Novelty_c,33089
19.999003419505307,17.124773819935847,22.817980838453654,18.822939060505984,21.18252764313266,1.0,Novelty_c,33825
21.152758292388256,18.46454266255152,23.901899416602493,20.026091280091137,22.274036068531153,1.0,Novelty_c,34700
